,UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON12,DRUG12,LIQUOR12,WEAPON13,DRUG13,LIQUOR13,WEAPON14,DRUG14,LIQUOR14,FILTER12,FILTER13,FILTER14,pub,year
0,100654001,Alabama A & M University,Main Campus,4900 MERIDIAN ST,NORMAL,AL,35762,1,"Public, 2",2379,2954,5333,0,0,0,0,0,0,0,0,0,1,1,1,1,2
5,100724001,Alabama State University,Main Campus,915 SOUTH JACKSON ST,MONTGOMERY,AL,361040271,1,"Public, 2",2089,3430,5519,0,0,0,0,0,0,0,0,0,1,1,1,1,2
6,100751001,The University of Alabama,Main Campus,1110 Jackson Ave,TUSCALOOSA,AL,354870180,1,"Public, 2",16231,19816,36047,0,0,0,0,1,7,0,3,0,1,1,1,1,2
8,100760001,Central Alabama Community College,Alexander City Campus,1675 Cherokee Rd,Alexander City,AL,35010,4,"Public, 1",701,1025,1726,0,0,0,0,0,0,0,0,0,1,1,1,1,1
9,100760002,Central Alabama Community College,Childersburg Campus,34091 Highway 280,Childersburg,AL,35044,4,"Public, 1",701,1025,1726,0,0,0,0,0,0,0,0,0,1,1,1,1,1
12,100830001,Auburn University at Montgomery,Auburn University Montgomery,7400 EAST DRIVE,MONTGOMERY,AL,361173596,1,"Public, 2",1824,3233,5057,0,0,0,0,0,0,0,0,0,1,1,1,1,2
13,100858001,Auburn University,Main Campus,107 Samford Hall,Auburn,AL,36849,1,"Public, 2",13114,12798,25912,0,0,0,0,0,0,0,2,3,1,1,1,1,2
32,101161001,James H Faulkner State Community College,Main Campus,1900 US HWY 31 S,Bay Minette,AL,365072698,4,"Public, 1",1645,2836,4481,0,0,0,0,0,0,0,0,0,1,1,1,1,1
33,101189001,Faulkner University,Main Campus,5345 ATLANTA HWY,MONTGOMERY,AL,361093378,2,"Private nonprofit, 2",1333,2002,3335,0,0,0,0,0,0,0,0,0,1,1,1,2,2
44,101435001,Huntingdon College,Main Campus,1500 East Fairview Avenue,Montgomery,AL,361062148,2,"Private nonprofit, 2",588,572,1160,0,0,0,0,0,0,0,0,0,1,1,1,2,2
46,101462001,J F Drake State Community and Technical College,Main Campus,3421 MERIDIAN ST N,HUNTSVILLE,AL,358111544,4,"Public, 1",456,606,1062,0,0,0,0,0,0,0,0,0,1,1,1,1,1
47,101480001,Jacksonville State University,Main Campus,700 Pelham Road North,Jacksonville,AL,36265,1,"Public, 2",3681,4978,8659,0,0,0,0,0,0,0,0,0,1,1,1,1,2
54,101541001,Judson College,Main Campus,302 BIBB ST,MARION,AL,36756,2,"Private nonprofit, 2",12,366,378,0,0,0,0,0,0,0,0,0,1,1,1,2,2
57,101587001,University of West Alabama,University of West Alabama,STATION 1,LIVINGSTON,AL,35470,1,"Public, 2",1188,2801,3989,0,0,0,0,0,0,0,0,0,1,1,1,1,2
62,101675001,Miles College,Miles College,5500 Myron Massey Blvd,Fairfield,AL,35064,2,"Private nonprofit, 2",911,871,1782,0,0,0,0,0,0,0,0,0,1,1,1,2,2
64,101709001,University of Montevallo,University of Montevallo,STATION 6001,MONTEVALLO,AL,35115,1,"Public, 2",1002,2068,3070,0,0,0,0,0,0,0,0,0,1,1,1,1,2
67,101879001,University of North Alabama,Main Campus,1 Harrison Plaza- UNA Box 5067,FLORENCE,AL,356320001,1,"Public, 2",2872,3969,6841,0,1,0,0,0,0,0,0,0,1,1,1,1,2
69,101897001,Northeast Alabama Community College,Northeast Alabama Community College,P.O. Box 159  / 138 Alabama Hwy 35,Rainsville,AL,35986,4,"Public, 1",1065,1643,2708,0,0,0,0,0,0,0,0,0,1,1,1,1,1
70,101912001,Oakwood University,Oakwood University,7000 ADVENTIST BLVD NW,HUNTSVILLE,AL,358960003,2,"Private nonprofit, 2",836,1103,1939,0,0,0,0,0,0,0,0,0,1,1,1,2,2
76,101994001,Reid State Technical College,Main Campus,I65 AND HWY 83,EVERGREEN,AL,36401,4,"Public, 1",216,333,549,0,0,0,0,0,0,0,0,0,1,1,1,1,1
81,102049001,Samford University,Main Campus,800 Lakeshore Drive,Birmingham,AL,352292240,2,"Private nonprofit, 2",1851,3082,4933,0,0,0,0,0,0,0,0,0,1,1,1,2,2
82,102058001,Selma University,Selma University,"1501 Lapsley St, Dinkins Hall",Selma,AL,36701,2,"Private nonprofit, 2",214,344,558,0,0,0,0,0,0,0,0,0,1,1,1,2,2
85,102076001,Snead State Community College,Main Campus,P.O. Box 734,BOAZ,AL,359570734,4,"Public, 1",892,1366,2258,0,0,0,0,0,0,0,0,0,1,1,1,1,1
87,102094001,University of South Alabama,Main Campus,307 N UNIVERSITY BLVD,MOBILE,AL,366880002,1,"Public, 2",6105,9700,15805,0,2,0,0,0,0,0,1,1,1,1,1,1,2
89,102234001,Spring Hill College,Spring Hill College,4000 DAUPHIN ST,MOBILE,AL,366081791,2,"Private nonprofit, 2",556,820,1376,0,0,0,0,0,0,0,0,0,1,1,1,2,2
93,102313001,H Councill Trenholm State Technical College,Main Campus - Trenholm Campus,P.O. Box 10048,MONTGOMERY,AL,361083199,4,"Public, 1",673,665,1338,0,0,0,0,0,0,0,0,0,1,1,1,1,1
94,102368001,Troy University,Troy Campus,University Avenue,TROY,AL,360820001,1,"Public, 2",7093,11948,19041,0,0,0,0,0,2,0,0,0,1,1,1,1,2
104,102429001,Bevill State Community College,Bevill State Community College Main Campus,1411 Indiana Avenue,Jasper,AL,35501,4,"Public, 1",1366,2243,3609,0,0,0,0,0,0,0,0,0,1,1,1,1,1
105,102553001,University of Alaska Anchorage,Anchorage Campus,3211 PROVIDENCE DR,ANCHORAGE,AK,99508,1,"Public, 2",7142,10009,17151,0,0,0,0,0,0,0,0,0,1,1,1,1,2
106,102553002,University of Alaska Anchorage,Matanuska-Susitna College,8274 E. College Road,Palmer,AK,99645,1,"Public, 2",7142,10009,17151,0,0,0,0,0,0,0,0,0,1,1,1,1,2
107,102553003,University of Alaska Anchorage,Kenai Peninsula College - Kenai River Campus,156 College Road,Soldotna,AK,99669,1,"Public, 2",7142,10009,17151,0,0,0,0,0,0,0,0,0,1,1,1,1,2
108,102553004,University of Alaska Anchorage,Kenai Peninsula College - Kachemak Bay Campus,533 E. Pioneer Avenue,Homer,AK,996037624,1,"Public, 2",7142,10009,17151,0,0,0,0,0,0,0,0,0,1,1,1,1,2
109,102553005,University of Alaska Anchorage,Kodiak College,117 Benny Benson Drive,Kodiak,AK,99615,1,"Public, 2",7142,10009,17151,0,0,0,0,0,0,0,0,0,1,1,1,1,2
110,102553006,University of Alaska Anchorage,Chugiak-Eagle River Campus,"10928 Eagle River Road, Ste. 115",Eagle River,AK,99577,1,"Public, 2",7142,10009,17151,0,0,0,0,0,0,0,0,0,1,1,1,1,2
113,102614001,University of Alaska Fairbanks,University of Alaska Fairbanks,P.O. Box 757480,FAIRBANKS,AK,997757480,1,"Public, 2",3655,4965,8620,0,0,0,0,1,1,0,0,0,1,1,1,1,2
119,102614007,University of Alaska Fairbanks,Community and Technical College,604 Barnette Street,Fairbanks,AK,99701,1,"Public, 2",3655,4965,8620,0,0,0,0,0,0,0,0,0,1,1,1,1,2
120,102632001,University of Alaska Southeast,Main Campus/Auke Bay,11120 GLACIER HWY,JUNEAU,AK,99801,1,"Public, 2",1044,1945,2989,0,0,0,0,0,0,0,0,0,1,1,1,1,2
123,102669001,Alaska Pacific University,Main Campus,4101 UNIVERSITY DR,ANCHORAGE,AK,99508,2,"Private nonprofit, 2",195,384,579,0,0,0,0,0,0,0,0,0,1,1,1,2,2
140,103787001,American Indian College Inc,Main Campus,10020 N 15TH AVE,PHOENIX,AZ,85021,2,"Private nonprofit, 2",42,49,91,0,0,0,0,0,0,0,0,0,1,1,1,2,2
151,104151001,Arizona State University-Tempe,Tempe Campus,325 E. Apache Blvd.,TEMPE,AZ,852811812,1,"Public, 2",28706,21614,50320,0,2,1,0,0,1,0,3,1,1,1,1,1,2
152,104151002,Arizona State University-Tempe,Downtown Phoenix Campus,411 N. Central Avenue,Phoenix,AZ,850042115,1,"Public, 2",28706,21614,50320,0,0,0,0,0,0,0,6,0,1,1,1,1,2
161,104179001,University of Arizona,Main Campus,1200 E. Univeristy,TUCSON,AZ,857210021,1,"Public, 2",20345,21891,42236,0,1,32,0,7,30,1,2,27,1,1,1,1,2
